Wiek,Płeć,Ocena_satysfakcji,Dochód_miesięczny,Region,Preferowany_system
53,Mężczyzna,1,17286,Centrum,Windows
85,Kobieta,7,10559,Zachód,iOS
29,Kobieta,7,14897,Zachód,Windows
81,Mężczyzna,6,4504,Południe,iOS
68,Mężczyzna,2,19747,Centrum,iOS
67,Mężczyzna,5,18553,Wschód,iOS
23,Kobieta,5,6102,Centrum,Windows
51,Mężczyzna,5,9001,Wschód,iOS
43,Kobieta,8,12734,Zachód,iOS
87,Kobieta,6,4066,Centrum,Windows
65,Mężczyzna,3,11650,Południe,iOS
46,Kobieta,3,6237,Wschód,macOS
57,Kobieta,5,3680,Zachód,iOS
25,Kobieta,9,8729,Zachód,iOS
38,Kobieta,4,18414,Północ,iOS
64,Mężczyzna,10,6966,Wschód,macOS
57,Mężczyzna,4,9574,Wschód,macOS
23,Kobieta,7,5131,Północ,Linux
49,Kobieta,2,14570,Południe,Android
21,Mężczyzna,8,1803,Centrum,Linux
32,Kobieta,8,8412,Centrum,Windows
38,Mężczyzna,3,9870,Wschód,iOS
22,Mężczyzna,10,9702,Wschód,Windows
69,Mężczyzna,9,19469,Wschód,Linux
27,Kobieta,5,13905,Centrum,iOS
49,Mężczyzna,5,5647,Centrum,iOS
85,Mężczyzna,1,1787,Zachód,Android
67,Kobieta,5,1814,Zachód,Android
76,Kobieta,7,17798,Północ,Android
79,Mężczyzna,10,6228,Południe,iOS
55,Kobieta,7,12866,Centrum,Windows
38,Mężczyzna,8,9365,Północ,Windows
74,Mężczyzna,5,6156,Centrum,Windows
42,Mężczyzna,4,13606,Wschód,Android
90,Kobieta,3,14359,Północ,Windows
74,Kobieta,5,3809,Zachód,Linux
85,Kobieta,5,15067,Północ,Android
85,Mężczyzna,10,2556,Południe,Android
19,Mężczyzna,1,19734,Centrum,Windows
49,Mężczyzna,4,6524,Zachód,iOS
53,Mężczyzna,6,16526,Zachód,macOS
57,Kobieta,9,7768,Południe,Linux
68,Mężczyzna,10,12845,Północ,Android
41,Mężczyzna,4,9901,Centrum,Android
90,Kobieta,4,1317,Centrum,iOS
31,Kobieta,2,6146,Centrum,Android
34,Kobieta,1,4315,Zachód,Android
42,Mężczyzna,10,6236,Centrum,Linux
36,Kobieta,7,14753,Południe,iOS
25,Kobieta,2,2556,Centrum,macOS
76,Mężczyzna,1,13033,Centrum,Linux
22,Kobieta,2,16554,Wschód,iOS
85,Mężczyzna,8,7874,Południe,Android
64,Kobieta,9,18017,Południe,macOS
28,Mężczyzna,6,8462,Południe,iOS
56,Kobieta,9,4758,Wschód,Linux
36,Mężczyzna,10,9461,Centrum,Windows
27,Mężczyzna,8,3460,Północ,macOS
35,Kobieta,4,15322,Zachód,iOS
39,Kobieta,3,6673,Północ,Windows
87,Kobieta,2,12457,Centrum,iOS
19,Mężczyzna,9,18787,Południe,iOS
54,Mężczyzna,9,2122,Wschód,Android
85,Mężczyzna,4,11480,Zachód,Windows
