Wiek;Płeć;Ocena_satysfakcji;Dochód_miesięczny;Region;Preferowany_system
53;Kobieta;9;3128;Centrum;Android
45;Kobieta;8;5414;Północ;macOS
20;Kobieta;9;1253;Wschód;Windows
63;Mężczyzna;2;6352;Południe;Android
29;Kobieta;5;15205;Wschód;iOS
46;Kobieta;7;8138;Zachód;macOS
24;Mężczyzna;10;2792;Południe;iOS
47;Kobieta;1;16298;Zachód;Windows
62;Mężczyzna;9;1234;Zachód;Linux
23;Kobieta;2;14027;Wschód;Android
74;Kobieta;7;1106;Wschód;iOS
43;Mężczyzna;1;18699;Południe;Linux
40;Kobieta;7;5079;Południe;iOS
50;Kobieta;3;10507;Centrum;Android
80;Kobieta;2;15821;Północ;macOS
28;Kobieta;10;12382;Południe;Windows
68;Mężczyzna;10;18501;Centrum;Windows
44;Mężczyzna;5;13419;Północ;Android
52;Kobieta;7;5831;Południe;Windows
38;Mężczyzna;9;18713;Zachód;Linux
71;Mężczyzna;1;1644;Południe;macOS
78;Kobieta;4;18123;Północ;macOS
70;Mężczyzna;10;4103;Północ;iOS
21;Mężczyzna;9;1733;Południe;Android
52;Kobieta;1;17513;Północ;Android
72;Mężczyzna;5;15154;Centrum;iOS
29;Mężczyzna;5;8246;Południe;Windows
90;Kobieta;8;6525;Centrum;iOS
71;Mężczyzna;4;6899;Centrum;Windows
53;Kobieta;3;4265;Wschód;iOS
64;Mężczyzna;5;3277;Południe;macOS
81;Kobieta;9;4441;Zachód;macOS
31;Kobieta;7;4765;Południe;Linux
42;Mężczyzna;9;14693;Południe;macOS
89;Mężczyzna;8;1537;Zachód;macOS
76;Mężczyzna;3;1016;Wschód;Windows
70;Kobieta;3;3048;Południe;Windows
74;Mężczyzna;1;13042;Południe;Windows
72;Kobieta;7;13517;Północ;Android
45;Kobieta;6;17256;Wschód;Windows
45;Mężczyzna;8;6206;Zachód;macOS
55;Mężczyzna;5;15050;Północ;Android
35;Mężczyzna;1;17864;Centrum;Windows
70;Kobieta;3;17286;Południe;iOS
31;Mężczyzna;3;18801;Wschód;macOS
42;Kobieta;8;8103;Zachód;Linux
31;Kobieta;5;12345;Południe;macOS
73;Mężczyzna;6;2063;Wschód;iOS
20;Kobieta;10;14650;Wschód;Android
19;Kobieta;10;19152;Centrum;Linux
85;Kobieta;10;9150;Wschód;macOS
22;Kobieta;3;14264;Zachód;iOS
41;Kobieta;6;15214;Północ;Android
57;Mężczyzna;3;17596;Północ;macOS
33;Kobieta;8;1371;Centrum;iOS
28;Mężczyzna;2;10823;Północ;Windows
88;Kobieta;9;17547;Zachód;Windows
80;Kobieta;5;11777;Wschód;iOS
47;Mężczyzna;2;9560;Południe;iOS
71;Kobieta;5;9967;Północ;Windows
75;Mężczyzna;1;11656;Północ;iOS
58;Mężczyzna;4;11960;Północ;Linux
48;Kobieta;3;12249;Północ;macOS
38;Mężczyzna;2;3711;Zachód;Windows
30;Mężczyzna;5;8600;Wschód;Windows
66;Kobieta;2;10687;Południe;Windows
69;Mężczyzna;2;1840;Południe;Linux
66;Kobieta;2;1946;Północ;iOS
49;Mężczyzna;6;11173;Centrum;Android
38;Kobieta;10;13409;Wschód;Windows
75;Mężczyzna;8;4041;Centrum;Linux
87;Kobieta;4;12629;Zachód;Linux
35;Mężczyzna;7;3894;Południe;Linux
80;Mężczyzna;8;12651;Północ;iOS
28;Kobieta;2;10893;Północ;macOS
79;Mężczyzna;9;9225;Zachód;iOS
49;Mężczyzna;10;18717;Zachód;Windows
25;Mężczyzna;6;17637;Zachód;Android
76;Kobieta;8;5345;Wschód;Linux
49;Mężczyzna;5;14256;Północ;Windows
51;Kobieta;6;5310;Centrum;Linux
54;Mężczyzna;10;3256;Centrum;Linux
32;Kobieta;4;12087;Centrum;Linux
34;Kobieta;2;16546;Wschód;iOS
38;Mężczyzna;6;18553;Wschód;iOS
58;Mężczyzna;4;3865;Południe;iOS
72;Mężczyzna;1;4551;Zachód;Android
41;Kobieta;8;14480;Południe;macOS
46;Mężczyzna;9;17436;Centrum;Android
42;Mężczyzna;10;18184;Zachód;iOS
73;Kobieta;6;6428;Południe;Windows
68;Mężczyzna;6;19279;Zachód;iOS
38;Mężczyzna;4;8523;Centrum;Windows
87;Kobieta;7;12878;Wschód;Android
42;Mężczyzna;9;12964;Południe;Android
36;Mężczyzna;1;11201;Południe;Windows
60;Mężczyzna;2;15187;Wschód;iOS
85;Mężczyzna;9;3688;Zachód;Windows
88;Mężczyzna;5;10900;Zachód;macOS
44;Mężczyzna;2;17728;Wschód;Android
76;Mężczyzna;7;14976;Południe;Linux
43;Kobieta;7;12811;Zachód;Windows
46;Kobieta;8;10887;Centrum;iOS
44;Kobieta;6;12678;Wschód;Android
40;Mężczyzna;4;15679;Północ;iOS
39;Kobieta;2;10934;Centrum;Linux
28;Kobieta;3;18759;Centrum;Linux
74;Mężczyzna;1;6066;Wschód;Android
90;Kobieta;10;19804;Centrum;Windows
29;Kobieta;7;11128;Centrum;macOS
60;Mężczyzna;9;14454;Południe;Windows
54;Kobieta;8;5263;Północ;macOS
53;Kobieta;4;16142;Południe;Android
68;Kobieta;8;11492;Północ;Linux
80;Kobieta;5;5111;Południe;iOS
79;Kobieta;10;3988;Centrum;iOS
86;Mężczyzna;7;11176;Północ;macOS
65;Mężczyzna;10;11982;Centrum;Android
39;Kobieta;2;12330;Południe;macOS
18;Mężczyzna;1;19271;Północ;macOS
63;Kobieta;7;11548;Centrum;macOS
78;Mężczyzna;2;3744;Zachód;macOS
42;Mężczyzna;10;16912;Zachód;macOS
36;Mężczyzna;1;15137;Północ;Android
62;Kobieta;8;6664;Zachód;Linux
56;Kobieta;7;2476;Wschód;iOS
56;Mężczyzna;10;14593;Południe;Android
33;Kobieta;4;18518;Wschód;macOS
50;Kobieta;7;5100;Centrum;iOS
51;Kobieta;1;13539;Południe;Android
60;Kobieta;5;8140;Wschód;iOS
40;Mężczyzna;3;11411;Północ;macOS
65;Kobieta;9;16016;Wschód;Linux
34;Kobieta;3;15802;Wschód;macOS
37;Kobieta;9;4974;Północ;Linux
48;Mężczyzna;5;11895;Centrum;Linux
54;Mężczyzna;8;9213;Wschód;Windows
31;Mężczyzna;7;2096;Centrum;Android
75;Kobieta;2;16633;Południe;iOS
63;Kobieta;2;12036;Północ;Linux
72;Kobieta;8;12797;Północ;Linux
72;Kobieta;6;9505;Wschód;Android
45;Kobieta;10;7711;Centrum;Android
29;Kobieta;9;8619;Centrum;iOS
32;Kobieta;7;1798;Wschód;iOS
62;Kobieta;4;4929;Centrum;Android
72;Kobieta;2;8839;Północ;macOS
81;Kobieta;5;14307;Północ;Windows
77;Mężczyzna;3;14029;Północ;iOS
79;Mężczyzna;10;7916;Wschód;iOS
48;Kobieta;7;10656;Zachód;Windows
40;Mężczyzna;1;2593;Zachód;Android
60;Kobieta;4;18238;Północ;Windows
50;Mężczyzna;10;18807;Centrum;iOS
24;Kobieta;1;11373;Północ;Windows
74;Kobieta;7;6486;Centrum;macOS
66;Kobieta;2;7697;Południe;Android
72;Mężczyzna;4;18309;Centrum;Linux
83;Mężczyzna;1;4925;Centrum;Windows
28;Mężczyzna;9;1967;Centrum;macOS
19;Kobieta;10;14707;Północ;iOS
80;Mężczyzna;4;9995;Północ;Linux
84;Mężczyzna;8;18331;Zachód;Windows
60;Kobieta;6;7674;Centrum;macOS
55;Kobieta;2;6139;Północ;Linux
69;Mężczyzna;5;6119;Południe;Linux
38;Kobieta;4;8700;Wschód;Android
34;Mężczyzna;4;5410;Północ;Linux
88;Kobieta;7;6818;Wschód;iOS
49;Kobieta;3;2568;Południe;Windows
77;Kobieta;3;17091;Wschód;iOS
84;Kobieta;4;11545;Południe;iOS
62;Kobieta;5;6577;Południe;iOS
21;Kobieta;8;3008;Zachód;Linux
77;Mężczyzna;8;17593;Centrum;macOS
61;Mężczyzna;10;12697;Południe;Android
51;Kobieta;1;19057;Południe;macOS
60;Mężczyzna;6;16595;Zachód;Linux
18;Kobieta;1;11316;Wschód;iOS
51;Mężczyzna;3;8530;Zachód;iOS
25;Mężczyzna;3;2758;Zachód;Windows
78;Mężczyzna;4;1997;Zachód;Android
44;Kobieta;10;2623;Południe;Windows
35;Kobieta;6;7526;Centrum;iOS
29;Mężczyzna;4;16932;Zachód;Windows
23;Mężczyzna;7;13428;Zachód;iOS
88;Mężczyzna;7;19678;Południe;Windows
44;Mężczyzna;1;18853;Centrum;macOS
82;Mężczyzna;9;4000;Południe;macOS
79;Kobieta;8;19527;Północ;Windows
49;Kobieta;8;10575;Południe;iOS
47;Kobieta;4;4045;Północ;Linux
33;Mężczyzna;7;19908;Północ;macOS
53;Kobieta;5;12376;Centrum;macOS
39;Mężczyzna;8;9943;Południe;iOS
84;Mężczyzna;5;5960;Centrum;Windows
48;Kobieta;7;19987;Zachód;macOS
23;Kobieta;1;11119;Zachód;Windows
40;Mężczyzna;3;5883;Centrum;Android
52;Kobieta;6;7483;Północ;Android
70;Kobieta;6;10552;Północ;macOS
42;Mężczyzna;2;18221;Południe;iOS
72;Mężczyzna;5;19325;Centrum;Windows
28;Kobieta;7;19462;Zachód;Android
38;Kobieta;7;6370;Centrum;iOS
75;Kobieta;5;4551;Centrum;iOS
47;Mężczyzna;2;19908;Zachód;macOS
19;Mężczyzna;2;18066;Wschód;Android
31;Kobieta;6;16214;Zachód;iOS
36;Mężczyzna;1;18654;Centrum;Linux
57;Kobieta;1;19236;Południe;Linux
77;Mężczyzna;4;19540;Wschód;macOS
27;Kobieta;5;8781;Zachód;Linux
77;Kobieta;5;16233;Południe;macOS
80;Kobieta;4;5368;Zachód;iOS
80;Kobieta;7;5370;Południe;Windows
90;Kobieta;8;6036;Północ;macOS
21;Mężczyzna;6;15335;Północ;iOS
22;Mężczyzna;4;14836;Południe;iOS
58;Kobieta;1;5179;Wschód;iOS
31;Mężczyzna;5;5296;Centrum;Linux
57;Kobieta;2;8161;Północ;iOS
26;Mężczyzna;4;14535;Centrum;macOS
33;Kobieta;7;17077;Zachód;Windows
34;Kobieta;6;8750;Południe;Windows
54;Mężczyzna;8;9153;Wschód;Linux
80;Mężczyzna;2;17449;Północ;Android
